Sub_ID,Study_ID,Lang_Group,Dom_Lang,Age_Days,Age_Months,Sex,Mat_Edu_Years,Lang_Exp_Eng,Lang_Exp_Fr,Lang_Exp_Other,Other_Lang,Eng_CDI_Filled_By,Fr_CDI_Filled_By,Visit_Num,TotalNW_Eng,TotalNW_Fr,Total_Vocabulary,Total_Conceptual_Vocabulary,Total_Number_TEs,Prop_TEs
1034,S51,Bilingual,English,791,26,M,16,71.43,28.57,0,NA,NA,NA,1,32,11,43,33,10,0.465116279
1035,S132,Bilingual,English,612,20,M,18,62,38,0,NA,NA,NA,1,46,22,68,56,12,0.352941176
1036,S53,Bilingual,French,826,27,M,16,25,75,0,NA,Mother,Mother,1,266,269,535,363,172,0.642990654
1037,S54,Bilingual,English,589,19,F,16,50,50,0,NA,Mother,Mother,1,135,95,230,173,57,0.495652174
1038,S29,Bilingual,English,756,24,M,15,75,25,0,NA,Mother,Mother,1,114,21,135,115,20,0.296296296
1039,S133,Bilingual,French,753,24,F,18,35,65,0,NA,NA,NA,1,23,99,122,104,18,0.295081967
1040,S134,Bilingual,French,601,19,M,18,43.5,56.5,0,NA,NA,NA,1,8,25,33,27,6,0.363636364
1041,S55,Bilingual,English,598,19,F,16,60,40,0,NA,NA,NA,1,44,35,79,60,19,0.481012658
1041,S56,Bilingual,English,760,24,F,16,51.79,48.22,0,NA,Mother,Mother,2,108,120,228,171,57,0.5
1041,S57,Bilingual,English,811,26,F,16,51.47,48.53,0,NA,NA,NA,3,227,232,459,326,133,0.579520697
1042,S58,Bilingual,French,601,19,M,16,26,73,0,NA,Mother,Mother,1,15,19,34,26,8,0.470588235
1043,S185,Bilingual,French,620,20,F,18,49.41,50.6,0,NA,Mother,Mother,1,76,107,183,150,33,0.360655738
1044,S135,Bilingual,English,618,20,M,18,50.48,49.53,0,NA,Father,Father,1,44,53,97,73,24,0.494845361
1044,S136,Bilingual,English,759,24,M,18,50.35,49.65,0,NA,Mother,Mother,2,189,228,417,295,122,0.585131894
1045,S208,Bilingual,French,627,20,M,21,26.46,73.54,0,NA,NA,NA,1,19,70,89,82,7,0.157303371
1046,S52,Trilingual,English,764,25,F,18,45,21,34,Romanian,Mother,Mother,1,228,87,315,250,65,0.412698413
1047,S139,Bilingual,English,735,24,M,18,54,46,0,NA,Mother,Mother,1,136,111,247,169,78,0.631578947
1048,S12,Bilingual,English,618,20,M,13,52,48,0,NA,Mother,Mother,1,31,66,97,78,19,0.391752577
1049,S140,Bilingual,English,626,20,F,18,70,30,0,NA,Mother,Mother,1,36,19,55,48,7,0.254545455
1050,S30,Bilingual,English,630,20,F,15,62.74,37.26,0,NA,NA,NA,1,23,8,31,26,5,0.322580645
1051,S142,Bilingual,English,624,20,F,18,51.28,48.72,0,NA,Mother_and_Father,Mother_and_Father,1,21,17,38,34,4,0.210526316
1052,S143,Bilingual,English,733,24,M,18,59.54,40.47,0,NA,Mother,Mother,1,39,34,73,62,11,0.301369863
1053,S59,Bilingual,French,645,21,F,16,50,50,0,NA,Mother,Mother,1,118,254,372,285,87,0.467741935
1054,S60,Bilingual,English,611,20,M,16,75,25,0,NA,NA,NA,1,17,11,28,24,4,0.285714286
1055,S61,Bilingual,English,739,24,M,16,53.45,46.55,0,NA,Mother,Mother,1,173,209,382,273,109,0.570680628
1056,S186,Bilingual,French,651,21,F,18,40,60,0,NA,NA,NA,1,59,144,203,177,26,0.256157635
1057,S63,Trilingual,English,755,24,F,18,51,32,17,German,Mother,Mother,1,202,69,271,227,44,0.324723247
1058,S62,Bilingual,French,723,23,M,16,37.5,62.5,0,NA,Mother,Mother,1,165,143,308,247,61,0.396103896
1059,S02,Bilingual,English,735,24,F,10,73.48,26.52,0,NA,Mother,Mother,1,317,17,334,324,10,0.05988024
1060,S144,Bilingual,French,750,24,F,18,26,74,0,NA,Mother,Mother,1,111,214,325,241,84,0.516923077
1061,S64,Bilingual,French,626,20,M,16,31,69,0,NA,Mother,Mother,1,55,114,169,136,33,0.390532544
1062,S31,Bilingual,French,806,26,F,15,25,75,0,NA,NA,NA,1,293,532,825,555,270,0.654545455
1063,S65,Bilingual,English,610,20,F,16,68.93,31.07,0,NA,NA,NA,1,43,16,59,45,14,0.474576271
1064,S66,Bilingual,French,640,21,F,16,47.8,52.2,0,NA,Mother,Mother,1,51,251,302,258,44,0.291390728
